Name,Num of words
MRS MATHEWS,6
MRS MATHEWS,5
MRS MATHEWS,7
MRS MATHEWS,6
MRS MATHEWS,4
MRS MATHEWS,5
MRS MATHEWS,6
MRS MATHEWS,5
WELLES,4
MRS MATHEWS,3
WELLES,1
MRS MATHEWS,3
WELLES,8
WELLES,7
WELLES,3
MRS MATHEWS,1
WELLES,7
WELLES,8
WELLES,6
WELLES,7
WELLES,6
WELLES,6
WELLES,5
MRS MATHEWS,6
WELLES,8
WELLES,1
MRS MATHEWS,6
WELLES,7
WELLES,6
WELLES,7
WELLES,7
WELLES,6
WELLES,6
WELLES,7
WELLES,2
MRS MATHEWS,7
MRS MATHEWS,2
WELLES,6
WELLES,6
WELLES,7
WELLES,7
MRS MATHEWS,8
WELLES,5
MRS MATHEWS,8
MRS MATHEWS,7
MRS MATHEWS,3
WELLES,5
WELLES,4
WELLES,8
WELLES,8
WELLES,8
WELLES,7
WELLES,7
WELLES,8
WELLES,5
WELLES,2
WELLES,4
MRS MATHEWS,8
MRS MATHEWS,5
MARY'S VOICE,6
MARY'S VOICE,6
MARY'S VOICE,5
MARY'S VOICE,7
MARY'S VOICE,8
MARY'S VOICE,8
MARY'S VOICE,7
MARY'S VOICE,7
MARY'S VOICE,8
MARY'S VOICE,6
MARY'S VOICE,6
MARY'S VOICE,6
MARY'S VOICE,7
MARY'S VOICE,5
MARY'S VOICE,4
MARY'S VOICE,7
MARY'S VOICE,7
MARY'S VOICE,8
MARY'S VOICE,6
MARY'S VOICE,3
WELLES,3
WELLES,6
WELLES,7
WELLES,3
MRS MATHEWS,1
WELLES,6
WELLES,6
WELLES,1
MRS MATHEWS,6
MRS MATHEWS,6
MRS MATHEWS,7
WELLES,4
MRS MATHEWS,7
MRS MATHEWS,6
MRS MATHEWS,7
MRS MATHEWS,7
MRS MATHEWS,6
MRS MATHEWS,9
MRS MATHEWS,6
MRS MATHEWS,7
MRS MATHEWS,6
MRS MATHEWS,5
MRS MATHEWS,7
MRS MATHEWS,1
MRS MATHEWS,4
WELLES,7
WELLES,1
MARY'S VOICE,8
MARY'S VOICE,6
MARY'S VOICE,5
MARY'S VOICE,6
MARY'S VOICE,7
MARY'S VOICE,7
MARY'S VOICE,6
MARY'S VOICE,7
MARY'S VOICE,6
MARY'S VOICE,6
MARY'S VOICE,6
MARY'S VOICE,7
MARY'S VOICE,7
MARY'S VOICE,6
MARY'S VOICE,7
MARY'S VOICE,7
MARY'S VOICE,5
MARY'S VOICE,8
MARY'S VOICE,6
MARY'S VOICE,7
MARY'S VOICE,7
MARY'S VOICE,3
MARY'S VOICE,8
MARY'S VOICE,8
MARY'S VOICE,7
MARY'S VOICE,1
MARY'S VOICE,7
MARY'S VOICE,5
MARY'S VOICE,5
MARY'S VOICE,8
MARY'S VOICE,8
MARY'S VOICE,6
MARY'S VOICE,9
MARY'S VOICE,6
MARY'S VOICE,10
MARY'S VOICE,3
MARY'S VOICE,5
MARY'S VOICE,8
MARY'S VOICE,8
MARY'S VOICE,5
MARY'S VOICE,7
MARY'S VOICE,7
MARY'S VOICE,7
MARY'S VOICE,8
MARY'S VOICE,8
MARY'S VOICE,7
MARY'S VOICE,5
MARY'S VOICE,8
MARY'S VOICE,7
MARY'S VOICE,8
MARY'S VOICE,7
MARY'S VOICE,6
MARY'S VOICE,6
MARY'S VOICE,7
MARY'S VOICE,6
MARY'S VOICE,2
MARY'S VOICE,8
MARY'S VOICE,6
MARY'S VOICE,7
MARY'S VOICE,3
MARY'S VOICE,7
MARY'S VOICE,7
MARY'S VOICE,7
MARY'S VOICE,3
MARY'S VOICE,6
MARY'S VOICE,8
MARY'S VOICE,8
MARY'S VOICE,8
MARY'S VOICE,4
MARY'S VOICE,4
MARY'S VOICE,7
MARY'S VOICE,7
MARY'S VOICE,8
MARY'S VOICE,4
MARY'S VOICE,6
MARY'S VOICE,8
MARY'S VOICE,8
MARY'S VOICE,8
MARY'S VOICE,2
MARY'S VOICE,6
MARY'S VOICE,8
MARY'S VOICE,5
MARY'S VOICE,5
MARY'S VOICE,6
MARY'S VOICE,8
MARY'S VOICE,6
MARY'S VOICE,8
MARY'S VOICE,7
MARY'S VOICE,5
MARY'S VOICE,7
MARY'S VOICE,6
MARY'S VOICE,7
MARY'S VOICE,5
MARY'S VOICE,6
MARY'S VOICE,6
MARY'S VOICE,6
MARY'S VOICE,7
MARY'S VOICE,5
MARY'S VOICE,9
MARY'S VOICE,7
MARY'S VOICE,8
MARY'S VOICE,6
MARY'S VOICE,7
MARY'S VOICE,8
MARY'S VOICE,3
WELLES,5
WELLES,3
PIERCED CLERK,5
WELLES,1
PIERCED CLERK,1
MAX,3
WELLES,3
MAX,7
MAX,1
WELLES,2
MAX,9
MAX,2
WELLES,6
MAX,7
MAX,7
MAX,6
MAX,4
MAX,3
WELLES,3
MAX,6
MAX,5
WELLES,4
MAX,9
MAX,1
WELLES,6
WELLES,1
WELLES,7
WELLES,3
WELLES,2
MAX,8
MAX,2
MAX,5
WELLES,5
WELLES,6
MAX,6
MAX,5
MAX,3
WELLES,7
WELLES,7
WELLES,4
WELLES' VOICE,7
WELLES' VOICE,7
WELLES' VOICE,6
AMY'S VOICE,7
AMY'S VOICE,2
WELLES' VOICE,8
WELLES' VOICE,7
AMY'S VOICE,3
WELLES,8
WELLES,7
WELLES,7
WELLES,1
WELLES,2
MAX,5
MAX,6
WELLES,5
WELLES,6
MAX,4
WELLES,6
MAX,7
MAX,6
MAX,7
MAX,4
WELLES,3
WELLES,6
MAX,3
WELLES,7
WELLES,2
MAX,1
WELLES,6
WELLES,7
WELLES,5
WELLES,6
WELLES,1
MAX,4
WELLES,5
WELLES,6
WELLES,9
WELLES,6
WELLES,5
MAX,9
MAX,8
WELLES,4
MAX,6
WELLES,2
MAX,5
MAX,6
WELLES,6
WELLES,6
WELLES,7
MAX,2
WELLES,6
MAX,7
WELLES,7
WELLES,6
WELLES,7
WELLES,8
WELLES,1
MAX,3
WELLES,7
WELLES,4
MAX,7
WELLES,7
WELLES,2
WELLES,3
MAX,5
MAX,2
MAX,2
GOON,7
GOON,6
GOON,1
MAX,3
GOON,6
WELLES,1
ONE DEALER,5
ONE DEALER,3
WELLES,3
ANGRY DEALER,5
ANGRY DEALER,7
WELLES,2
ANGRY DEALER,3
WELLES,1
ANGRY DEALER,8
WELLES,9
WELLES,6
ANGRY DEALER,7
ANGRY DEALER,5
LARGE MAN,8
MAX,4
MAX,5
MAX,4
MAX,4
MAX,5
MAX,4
MAX,5
MAX,4
MAX,5
MAX,7
MAX,7
MAX,5
MAX,4
MAX,5
MAX,4
MAX,5
MAX,6
MAX,7
MAX,7
MAX,5
MAX,5
MAX,4
MAX,5
MAX,4
MAX,5
MAX,6
MAX,7
MAX,6
MAX,7
MAX,7
MAX,5
MAX,5
MAX,6
MAX,4
MAX,5
MAX,4
MAX,6
MAX,5
MAX,7
WELLES,2
MAX,6
MAX,6
MAX,6
MAX,6
MAX,3
WELLES,2
MAX,5
MAX,5
MAX,4
MAX,4
MAX,4
MAX,6
MAX,6
MAX,8
MAX,8
MAX,8
MAX,5
MAX,7
MAX,8
MAX,7
MAX,7
MAX,6
MAX,6
MAX,1
WELLES,2
MAX,7
MAX,6
MAX,1
WELLES,7
WELLES,6
