Name,Num of words
ROD,1
CHRIS,3
ROD,7
ROD,7
ROD,7
ROD,6
ROD,6
ROD,1
CHRIS,3
CHRIS,1
CHRIS,1
GEORGINA,7
GEORGINA,5
GEORGINA,3
CHRIS,7
CHRIS,1
GEORGINA,6
GEORGINA,6
GEORGINA,5
GEORGINA,1
GEORGINA,2
GEORGINA,5
GEORGINA,6
CHRIS,6
CHRIS,4
CHRIS,4
GEORGINA,7
GEORGINA,6
GEORGINA,7
GEORGINA,7
DEAN,7
DEAN,6
DEAN,6
DEAN,5
DEAN,5
DEAN,5
DEAN,1
CHRIS,6
HIROKI,5
DEAN,2
HIROKI,6
HIROKI,5
HIROKI,5
CHRIS,5
CHRIS,5
CHRIS,6
CHRIS,4
CHRIS,6
ANDRE/LOGAN,7
ANDRE/LOGAN,6
ANDRE/LOGAN,7
ANDRE/LOGAN,7
ANDRE/LOGAN,5
PHIL,3
ANDRE/LOGAN,7
ANDRE/LOGAN,6
ANDRE/LOGAN,1
ANDRE/LOGAN,5
CHRIS,1
PHIL,1
PHIL,2
CHRIS,5
ANDRE,6
ROSE,5
DEAN,4
ROSE,2
DEAN,5
DEAN,6
CHRIS,8
CHRIS,1
ROSE,5
ROSE,4
DEAN,5
DEAN,5
DEAN,7
DEAN,3
ANDRE/LOGAN,8
ANDRE/LOGAN,2
MISSY,5
MISSY,2
ANDRE/LOGAN,7
ANDRE/LOGAN,7
ANDRE/LOGAN,5
ANDRE/LOGAN,6
ANDRE/LOGAN,6
DEAN,7
DEAN,5
ANDRE/LOGAN,8
ANDRE/LOGAN,4
CHRIS,7
CHRIS,2
ANDRE/LOGAN,6
PHIL,5
PHIL,1
ANDRE/LOGAN,7
ANDRE/LOGAN,6
ANDRE/LOGAN,6
ANDRE/LOGAN,5
ANDRE/LOGAN,7
ANDRE/LOGAN,1
DEAN,2
ANDRE/LOGAN,5
CHRIS,3
DEAN,5
DEAN,3
DEAN,2
MISSY,4
ROSE,5
CHRIS,5
CHRIS,3
ROSE,6
ROSE,6
ROSE,2
CHRIS,6
CHRIS,9
CHRIS,7
CHRIS,3
CHRIS,5
ROSE,3
CHRIS,5
CHRIS,1
ROSE,4
CHRIS,6
CHRIS,7
CHRIS,8
CHRIS,7
CHRIS,1
ROSE,8
ROSE,7
ROSE,1
ROSE,7
ROSE,7
ROSE,5
ROSE,7
ROSE,5
ROSE,5
ROSE,4
ROSE,2
ROSE,2
ROSE,1
ROSE,6
ROSE,2
ROSE,1
ROSE,7
ROSE,7
ROSE,1
ROSE,1
CHRIS,6
ROSE,5
ROSE,1
ROSE,8
ROSE,8
ROSE,2
CHRIS,8
CHRIS,6
CHRIS,6
CHRIS,6
CHRIS,6
CHRIS,3
ROSE,4
CHRIS,7
CHRIS,3
CHRIS,6
CHRIS,7
CHRIS,7
CHRIS,6
CHRIS,6
CHRIS,6
