Name,Num of words
DONKEY,7
DONKEY,10
DONKEY,6
DONKEY,7
DONKEY,8
DONKEY,6
DONKEY,6
DONKEY,7
DONKEY,9
DONKEY,9
DONKEY,8
DONKEY,10
DONKEY,7
DONKEY,9
DONKEY,7
DONKEY,8
DONKEY,9
DONKEY,9
DONKEY,5
DONKEY,2
FIONA,2
SHREK,8
SHREK,2
SHREK,1
SHREK,8
SHREK,5
FIONA,7
FIONA,6
FIONA,6
FIONA,9
FIONA,9
FIONA,6
DONKEY,8
DONKEY,8
FIONA,8
FIONA,4
SHREK,2
FIONA,2
SHREK,4
FIONA,7
FIONA,3
SHREK,7
FIONA,6
SHREK,5
SHREK,2
DONKEY,4
FIONA,7
FIONA,8
FIONA,8
FIONA,8
FIONA,4
DONKEY,7
DONKEY,8
DONKEY,1
FIONA,2
DONKEY,7
FIONA,4
SHREK,8
SHREK,7
SHREK,7
SHREK,8
SHREK,2
FIONA,5
SHREK,4
FIONA,3
SHREK,1
FIONA,1
SHREK,7
FIONA,7
SHREK,6
FIONA,7
FIONA,7
FIONA,2
SHREK,8
SHREK,8
SHREK,4
FIONA,7
SHREK,7
SHREK,4
FIONA,9
FIONA,9
FIONA,1
DONKEY,6
SHREK,7
FIONA,9
FIONA,8
FIONA,7
FIONA,5
SHREK,7
SHREK,5
FIONA,6
SHREK,3
DONKEY,4
FIONA,8
FIONA,5
FIONA,3
DONKEY,6
DONKEY,7
DONKEY,8
DONKEY,9
DONKEY,7
DONKEY,7
FIONA,8
FIONA,6
FIONA,9
FIONA,3
DONKEY,6
DONKEY,2
FIONA,7
FIONA,3
SHREK,8
SHREK,7
DONKEY,8
DONKEY,4
DONKEY,8
DONKEY,7
DONKEY,7
SHREK,6
SHREK,7
SHREK,5
FIONA,7
FIONA,3
SHREK,7
SHREK,1
FIONA,6
DONKEY,7
DONKEY,3
SHREK,7
SHREK,7
FIONA,8
SHREK,3
DONKEY,8
DONKEY,8
FIONA,7
FIONA,4
SHREK,4
FIONA,7
FIONA,2
DONKEY,9
DONKEY,2
DONKEY,5
SHREK,6
SHREK,6
SHREK,8
SHREK,2
DONKEY,8
DONKEY,3
SHREK,7
SHREK,6
SHREK,7
SHREK,2
DONKEY,6
SHREK,8
SHREK,7
SHREK,1
DONKEY,8
DONKEY,1
SHREK,6
SHREK,7
DONKEY,9
SHREK,2
DONKEY,6
DONKEY,2
SHREK,6
SHREK,8
SHREK,8
SHREK,6
DONKEY,9
DONKEY,8
DONKEY,8
DONKEY,6
SHREK,4
DONKEY,4
SHREK,3
DONKEY,8
DONKEY,3
SHREK,8
SHREK,3
DONKEY,8
SHREK,8
DONKEY,4
SHREK,3
DONKEY,4
SHREK,4
DONKEY,6
SHREK,2
SHREK,6
DONKEY,7
DONKEY,4
SHREK,8
SHREK,8
SHREK,8
SHREK,9
SHREK,7
SHREK,8
SHREK,2
DONKEY,8
DONKEY,8
DONKEY,1
SHREK,3
DONKEY,8
SHREK,6
SHREK,2
DONKEY,9
DONKEY,6
SHREK,3
DONKEY,2
FARQUAAD,6
FARQUAAD,8
MIRROR,1
FARQUAAD,2
DONKEY,8
DONKEY,3
SHREK,3
DONKEY,2
SHREK,2
DONKEY,1
FIONA,8
FIONA,1
DONKEY,4
SHREK,4
FIONA,10
FIONA,7
FIONA,9
FIONA,2
SHREK,2
FIONA,9
FIONA,2
DONKEY,1
SHREK,6
SHREK,5
DONKEY,8
DONKEY,3
FIONA,1
DONKEY,6
SHREK,3
FIONA,6
FIONA,6
ROBIN HOOD,3
SHREK,1
ROBIN HOOD,9
ROBIN HOOD,8
SHREK,7
SHREK,1
ROBIN HOOD,7
ROBIN HOOD,3
FIONA,6
ROBIN HOOD,7
ROBIN HOOD,7
MERRY MEN,5
ROBIN HOOD,9
ROBIN HOOD,1
MERRY MEN,5
ROBIN HOOD,7
ROBIN HOOD,4
MERRY MEN,5
ROBIN HOOD,8
ROBIN HOOD,5
MERRY MEN,7
MERRY MEN,2
ROBIN HOOD,7
ROBIN HOOD,8
MERRY MEN,2
ROBIN HOOD,8
ROBIN HOOD,3
MERRY MEN,6
ROBIN HOOD,8
ROBIN HOOD,8
ROBIN HOOD,5
FIONA,4
MERRY MAN,4
FIONA,3
SHREK,6
SHREK,8
SHREK,1
FIONA,1
SHREK,6
SHREK,5
FIONA,5
FIONA,8
FIONA,3
FIONA,6
SHREK,4
SHREK,3
FIONA,9
FIONA,1
FIONA,2
DONKEY,6
DONKEY,3
SHREK,3
DONKEY,8
DONKEY,9
DONKEY,6
DONKEY,5
FIONA,8
FIONA,8
FIONA,6
DONKEY,7
DONKEY,7
DONKEY,8
DONKEY,4
SHREK & FIONA,1
DONKEY,7
SHREK,5
FIONA,2
SHREK,1
FIONA,8
FIONA,2
SHREK,1
FIONA,8
SHREK,3
FIONA,3
SHREK,7
SHREK,1
FIONA,2
SHREK,3
FIONA,5
FIONA,4
DONKEY,6
DONKEY,6
DONKEY,9
DONKEY,5
DONKEY,5
SHREK,3
FIONA,8
FIONA,1
SHREK,2
DONKEY,1
SHREK,7
DONKEY,8
DONKEY,7
SHREK,8
SHREK,7
SHREK,3
DONKEY,3
DONKEY,3
SHREK,7
SHREK,1
FIONA,2
DONKEY,7
DONKEY,5
DONKEY,9
SHREK,9
SHREK,1
FIONA,8
FIONA,2
SHREK,1
FIONA,8
FIONA,2
DONKEY,7
FIONA,7
FIONA,7
SHREK,7
SHREK,6
FIONA,8
DONKEY,8
DONKEY,8
DONKEY,9
SHREK,7
FIONA,4
DONKEY,8
DONKEY,3
DONKEY,9
DONKEY,2
FIONA,8
FIONA,3
SHREK,5
FIONA,6
SHREK,7
SHREK,10
SHREK,3
FIONA,8
FIONA,2
SHREK,9
SHREK,7
SHREK,8
SHREK,5
SHREK,2
FIONA,2
SHREK,6
SHREK,5
DONKEY,5
FIONA,4
SHREK,1
DONKEY,8
DONKEY,7
DONKEY,1
FIONA,6
FIONA,6
DONKEY,7
DONKEY,8
DONKEY,8
DONKEY,2
FIONA,2
SHREK,2
DONKEY,8
DONKEY,1
SHREK,6
DONKEY,8
DONKEY,7
DONKEY,8
DONKEY,5
SHREK,6
SHREK,3
DONKEY,8
DONKEY,8
DONKEY,4
SHREK,7
SHREK,9
SHREK,10
SHREK,9
SHREK,2
DONKEY,2
SHREK,3
DONKEY,4
SHREK,4
DONKEY,4
DONKEY,4
DONKEY,8
DONKEY,2
DONKEY,1
FIONA,2
DONKEY,2
FIONA,1
DONKEY,3
FIONA,5
DONKEY,7
FIONA,4
DONKEY,1
FIONA,5
DONKEY,11
FIONA,1
DONKEY,7
DONKEY,1
FIONA,1
DONKEY,3
FIONA,1
DONKEY,1
FIONA,3
DONKEY,6
DONKEY,4
FIONA,3
DONKEY,7
DONKEY,8
DONKEY,9
DONKEY,3
FIONA,10
FIONA,4
DONKEY,8
DONKEY,5
FIONA,7
FIONA,8
FIONA,7
FIONA,7
FIONA,3
DONKEY,6
DONKEY,3
FIONA,8
FIONA,9
FIONA,6
FIONA,8
FIONA,8
FIONA,8
FIONA,6
FIONA,7
DONKEY,7
DONKEY,8
DONKEY,8
DONKEY,8
DONKEY,3
FIONA,7
FIONA,9
DONKEY,7
DONKEY,1
FIONA,8
FIONA,4
DONKEY,8
DONKEY,9
DONKEY,3
FIONA,1
SHREK,8
SHREK,9
SHREK,7
SHREK,9
SHREK,8
SHREK,7
SHREK,8
SHREK,4
FIONA,9
FIONA,8
FIONA,6
FIONA,7
FIONA,4
FIONA,8
FIONA,7
FIONA,10
FIONA,2
DONKEY,8
FIONA,8
FIONA,3
DONKEY,8
DONKEY,5
FIONA,5
DONKEY,8
DONKEY,5
DONKEY,7
DONKEY,7
DONKEY,5
FIONA,10
FIONA,8
FIONA,5
FIONA,5
SHREK,4
FIONA,9
FIONA,5
SHREK,7
SHREK,6
FIONA,5
SHREK,2
FIONA,4
SHREK,7
SHREK,6
FIONA,7
FIONA,1
SHREK,6
SHREK,6
SHREK,3
DONKEY,9
DONKEY,5
FARQUAAD,2
SHREK,6
FARQUAAD,9
FARQUAAD,8
FARQUAAD,4
FARQUAAD,5
FARQUAAD,8
FARQUAAD,7
FARQUAAD,3
FIONA,9
FIONA,8
FARQUAAD,8
FARQUAAD,8
FARQUAAD,5
FIONA,5
FARQUAAD,5
FARQUAAD,7
FARQUAAD,8
FARQUAAD,2
FIONA,6
FIONA,3
FARQUAAD,6
FIONA,8
FIONA,6
FARQUAAD,6
FARQUAAD,7
FARQUAAD,7
FARQUAAD,7
FARQUAAD,3
FIONA,2
DONKEY,7
DONKEY,3
SHREK,3
DONKEY,6
DONKEY,8
DONKEY,4
SHREK,8
SHREK,7
SHREK,8
SHREK,4
DONKEY,9
SHREK,8
SHREK,8
SHREK,5
SHREK,4
SHREK,2
DONKEY,5
SHREK,7
DONKEY,1
SHREK,4
SHREK,1
DONKEY,8
DONKEY,7
SHREK,6
SHREK,8
DONKEY,8
DONKEY,6
SHREK,4
DONKEY,8
DONKEY,9
DONKEY,8
DONKEY,7
SHREK,2
DONKEY,4
SHREK,4
DONKEY,2
DONKEY,3
SHREK,2
DONKEY,2
SHREK,1
DONKEY,8
DONKEY,3
SHREK,5
DONKEY,7
DONKEY,7
DONKEY,9
DONKEY,8
DONKEY,7
DONKEY,7
DONKEY,5
SHREK,8
SHREK,6
DONKEY,6
DONKEY,3
SHREK,7
SHREK,7
DONKEY,7
DONKEY,7
DONKEY,1
DONKEY,8
DONKEY,8
DONKEY,8
SHREK,7
SHREK,2
DONKEY,7
DONKEY,5
SHREK,7
SHREK,3
DONKEY,7
DONKEY,7
DONKEY,1
SHREK,1
DONKEY,1
SHREK,6
SHREK,9
SHREK,7
DONKEY,7
SHREK,2
DONKEY,1
SHREK,8
DONKEY,8
DONKEY,5
SHREK,7
SHREK,1
DONKEY,6
DONKEY,10
SHREK,1
DONKEY,7
